Transaction,Item
1,bread
2,cheese
2,coffee
2,butter
3,chocolate
4,milk
4,eggs
4,beer
4,bread
4,diapers
5,cheese
6,diapers
6,eggs
7,diapers
8,coffee
8,chocolate
9,beer
9,cheese
9,wine
9,apple
9,bread
10,coffee
10,beer
11,apple
11,butter
11,cheese
12,milk
12,coffee
12,beer
13,banana
14,eggs
14,apple
14,bread
15,diapers
15,milk
15,beer
15,chocolate
16,apple
16,chocolate
16,eggs
16,banana
16,cheese
17,bread
18,apple
18,milk
19,milk
19,beer
20,wine
20,chocolate
20,banana
21,banana
21,coffee
22,chocolate
22,apple
23,eggs
24,diapers
24,cheese
25,wine
25,beer
26,chocolate
26,diapers
26,cheese
27,bread
27,cheese
27,coffee
28,beer
28,apple
28,milk
29,eggs
29,banana
30,chocolate
30,wine
31,chocolate
31,wine
31,butter
31,apple
32,cheese
32,diapers
33,apple
33,eggs
33,beer
33,chocolate
33,banana
34,butter
34,diapers
35,milk
35,bread
35,coffee
35,butter
36,chocolate
36,beer
37,milk
37,beer
37,chocolate
37,wine
37,apple
38,bread
38,chocolate
38,milk
38,diapers
38,apple
39,milk
39,apple
39,beer
40,wine
40,bread
41,diapers
41,butter
41,coffee
42,chocolate
43,chocolate
43,diapers
43,eggs
44,butter
44,banana
45,diapers
45,coffee
46,eggs
47,wine
47,bread
47,milk
48,apple
48,cheese
48,bread
49,eggs
49,milk
50,coffee
51,milk
51,diapers
51,butter
51,eggs
52,diapers
52,butter
52,apple
52,coffee
53,beer
53,cheese
53,diapers
53,chocolate
53,apple
54,chocolate
54,coffee
54,banana
54,wine
55,wine
55,milk
55,cheese
55,eggs
55,chocolate
56,bread
56,eggs
56,diapers
57,eggs
57,cheese
58,milk
59,cheese
60,bread
61,milk
61,diapers
61,cheese
62,chocolate
62,wine
62,cheese
63,butter
63,eggs
63,chocolate
63,wine
63,cheese
64,beer
64,cheese
64,milk
64,eggs
65,banana
65,beer
65,chocolate
65,wine
66,chocolate
67,bread
68,coffee
68,banana
68,milk
68,cheese
69,cheese
69,diapers
70,butter
70,beer
70,coffee
70,apple
71,cheese
71,milk
71,wine
71,diapers
72,bread
73,bread
73,milk
73,cheese
73,butter
73,beer
74,wine
74,cheese
74,beer
74,bread
75,beer
75,bread
76,apple
76,wine
76,coffee
76,beer
77,chocolate
77,wine
77,butter
77,cheese
77,apple
78,bread
78,eggs
79,bread
79,banana
79,coffee
79,eggs
79,wine
80,diapers
80,butter
80,bread
80,coffee
80,milk
81,milk
81,eggs
82,chocolate
83,beer
83,milk
84,cheese
84,eggs
84,chocolate
84,bread
84,milk
85,chocolate
85,eggs
85,coffee
85,diapers
86,apple
86,cheese
86,banana
87,apple
87,beer
88,chocolate
88,coffee
89,wine
89,banana
89,milk
90,wine
91,eggs
91,milk
91,chocolate
91,diapers
91,cheese
92,apple
92,butter
92,banana
92,milk
92,cheese
93,apple
93,butter
93,wine
94,coffee
94,apple
94,eggs
94,diapers
94,bread
95,apple
95,chocolate
95,milk
95,butter
95,coffee
96,milk
97,butter
97,apple
97,chocolate
97,cheese
97,banana
98,chocolate
98,coffee
99,diapers
99,wine
99,apple
100,milk
